,review,sentiments,word_count,clean_review,polarity
116,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,17,keyboard nice compromis full basic cell phone number keypad,0.31666666666666665
117,i got this phone around the end of may and i'm completely unhappy with it.,0,15,got phone around end may complet unhappi,0.0
118,It is very comfortable on the ear.,1,7,comfort ear,0.0
119,It has been a winner for us.,1,7,winner u,0.0
120,)Setup couldn't have been simpler.,1,5,setup,0.0
121,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,24,tri sever differ earpiec cell phone jabra one first one found fit ear comfort,0.325
122,Could not get strong enough signal.,0,6,could get strong enough signal,0.21666666666666665
123,Iam very pleased with my purchase.,1,6,plea purchas,0.0
124,Bad Quality.,0,2,bad qualiti,-0.6999999999999998
125,Gets the job done.,1,4,get job done,0.0
126,Great audio!.,1,2,great audio,0.8
127,Basically the service was very bad.,0,6,basic servic bad,-0.3499999999999999
128,it did not work in my cell phone plug i am very up set with the charger!.,0,17,work cell phone plug set charger,0.0
129,"I've only had my bluetooth for a few weeks, but I really like it.",1,14,bluetooth week realli like,0.0
130,The BT headset was such a disapoinment.,0,7,bt headset,0.0
131,It is so small and you don't even realize that it is there after a while of getting used to it.,1,21,small even realiz get use,-0.25
132,The accompanied software is almost brilliant.,1,6,softwar almost brilliant,0.9
133,Headset works great & was packaged nicely to avoid any damage.,1,11,headset work great packag avoid,0.8
134,!I definitly recommend!!,1,3,recommend,0.0
135,Buyer--Be Very Careful!!!!!.,0,3,buyer care,0.0
136,The majority of the Logitech earbud headsets failed.,0,8,logitech earbud headset fail,-0.5
137,Very good stuff for the price.,1,6,good stuff price,0.7
138,My headset works just peachy-keen.,1,5,headset work,0.0
139,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,15,hous get drop coverag coverag,0.0
140,Voice recognition is tremendous!,1,4,voic recognit tremend,0.0
141,What a waste.,0,3,wast,0.0
142,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,20,sever differ minut call experienc drop area bar,0.0
143,I was not happy with this item.,0,7,happi item,0.0
144,very disappointed.,0,2,disappoint,0.0
145,The phone takes FOREVER to charge like 2 to 5 hours literally.,0,12,phone take forev charg like hour liter,0.0
146,I got this phone on reccomendation from a relative and I'm glad I did.,1,14,got phone glad,0.5
147,What a waste of time!,0,5,wast time,0.0
148,Its reception is very very poor.,0,6,recept poor,-0.4
149,Items stated as included from the description ARE NOT INCLUDED.,0,10,state includ descript includ,0.0
150,"After 3 months, screen just went black all of a sudden.",0,11,month screen went black,-0.16666666666666666
151,I Was Hoping for More.,0,5,hope,0.0
152,"Audio Quality is poor, very poor.",0,6,audio qualiti poor poor,-0.4
153,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,14,absolut problem headset blackberri,0.0
154,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,21,know sound funni seem like technolog work well well one work great,0.6000000000000001
155,I've bought $5 wired headphones that sound better than these.,0,10,bought wire headphon sound better,0.45
156,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,23,phone fast send kind messag faster previou phone use,0.4
157,"Nice quality build, unlike some cheap s*** out there.",1,9,nice qualiti build cheap,0.5
158,This item is fantastic and works perfectly!,1,7,item fantast work perfectli,0.0
159,And I just love the colors!,1,6,love,0.5
160,W810i is just SUPERB.,1,4,w superb,1.0
161,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,23,whine internet goe use thing le like,0.0
162,Great charger.,1,2,great charger,0.8
163,This is essentially a communications tool that does not communicate.,0,10,essenti tool,0.0
164,Works like a charm; it work the same as the one I got with the phone.,1,16,work like charm work one got phone,0.0
165,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,22,still maintain make headphon obvious share enough design human,0.0
166,Great Value.,1,2,great valu,0.8
167,Doesn't work at all.. I bougth it for my L7c and its not working.,0,14,work c work,0.0
168,"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,17,look sharp screen nice clear great graphic,0.275
169,doesn't last long.,0,3,last long,-0.025
170,One thing I hate is the mode set button at the side.,0,12,one thing hate set button side,-0.8
171,EXCELLENT SERVICE!!!!!!!!.,1,2,excel servic,0.0
172,Thank you for wasting my money.,0,6,thank wast money,0.0
173,How can that be?The audio quality is poor.,0,8,audio qualiti poor,-0.4
174,The iGo chargers and tips are really great.,1,8,igo charger tip realli great,0.8
175,The file browser offers all the options that one needs.Handsfree is great.,1,12,offer option one need handsfre great,0.8
176,Superb Phone on a Great Network.,1,6,superb phone great network,0.9
177,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,25,connect wife bluetooth motorola phone work like charm whether phone pocket case,0.0
178,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,25,put latest v g like slow lock everi,0.09999999999999998
179,It only recognizes the Phone as its storage device.,0,9,phone storag devic,0.0
180,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,17,like loud buzz overrid convers phone,0.1
181,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,17,like loud buzz overrid convers phone,0.1
182,Don't buy this product.,0,4,buy product,0.0
183,Don't buy this product.,0,4,buy product,0.0
184,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,21,headset time still comfort way fit ear,0.4
185,The sound quality is good and functionality is awesome.,1,9,sound qualiti good function awesom,0.55
186,"I have this phone and it is a thorn in my side, I really abhor it.",0,16,phone side realli,0.0
187,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,18,recent problem could stay connect minut,0.0
188,Incredible!.,1,1,incred,0.0
189,Design Flaw?.,0,2,design flaw,0.0
190,Great phone!.,1,2,great phone,0.8
191,Great phone!.,1,2,great phone,0.8
192,Waste of 13 bucks.,0,4,wast buck,0.0
193,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,24,check voic night keypad turn second first lost,0.125
194,The replacement died in a few weeks.,0,7,replac die week,0.0
195,Any ring tone..Overall good phone to buy..,1,7,ring tone overal good phone buy,0.7
196,Lately they have been extremely nice and helpful on the phone.,1,11,extrem nice help phone,0.6
197,I have had problems wit hit dropping signal and more.,0,10,problem hit drop signal,0.0
198,Not impressed.,0,2,impress,0.0
199,"Light weight, I hardly notice it is there.",1,8,light weight hardli notic,0.4
200,You'll love how thin it is.,1,6,love thin,0.04999999999999999
201,Bad Choice.,0,2,bad choic,-0.6999999999999998
202,The pleather case doesn't fit.,0,5,case fit,0.4
203,"useless phone, simply deaf.",0,4,useless phone simpli,-0.5
204,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,17,color even thought would graphic incred sharp,-0.0625
205,All in all I think it was a good investment.,1,10,think good,0.7
206,It makes very strange ticking noises before it ends the call.,0,11,make strang end call,0.0
207,The best electronics of the available FM Transmitters.,1,8,best,1.0
208,Battery lasts only a few hours.,0,6,batteri last hour,0.0
209,"great headset, very impressed - H500.",1,6,great headset impress,0.8
210,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,14,camera part phone reason good,0.7
211,I've had this for nearly 2 years and it has worked great for me.,1,14,nearli year work great,0.8
212,Good transmit audio.,1,3,good audio,0.7
213,We are sending it back.,0,5,send back,0.0
214,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,26,bother compani product bought form anyway,0.0
215,"If you hate earbugs, avoid this phone by all means.",0,10,hate avoid phone mean,-0.55625
216,Great price also!,1,3,great price also,0.8
217,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,25,rang decent abl around hous phone live room recept sound qualiti issu,0.23434343434343433
218,fast service.,1,2,fast servic,0.2
219,I would highly recommend this.,1,5,would highli recommend,0.0
220,I would recommend this.,1,4,would recommend,0.0
221,"I also didn't like the ""on"" button, it felt like it would crack with use.",0,15,also like button felt like would use,0.0
222,WORST PHONE EVER.,0,3,worst phone ever,-1.0
223,I'm still infatuated with this phone.,1,6,still phone,0.0
224,Freezes frequently4.,0,2,,0.0
225,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,20,kind embarrass use look mostli embarrass child like compani,0.6
226,"Simple, lightweight and great fit.",1,5,simpl lightweight great fit,0.6000000000000001
227,"All in all, I'd expected a better consumer experience from Motorola.",0,11,expect better consum experi motorola,0.5
228,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,18,horribl sound background call never experienc,0.4
229,These are certainly very comfortable and functionality is decent.,1,9,certainli comfort function decent,0.16666666666666666
230,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,17,usual like one lightweight mess hair,-0.2125
231,I'm a bit disappointed.,0,4,bit disappoint,0.0
232,"I have had this phone for over a year now, and I will tell you, its not that great.",0,19,phone year tell great,0.8
233,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,20,order soni w think work that first use,0.25
234,The battery is completely useless to me.,0,7,batteri complet useless,-0.5
235,What a big waste of time.,0,6,big wast time,0.0
236,Don't waste your $$$ on this one.,0,7,wast one,0.0
237,Great sound and service.,1,4,great sound servic,0.6000000000000001
238,Really pleased with this product so far.,1,7,realli plea product far,0.1
239,One of my favorite purchases ever.,1,6,one favorit ever,0.0
240,best bluetooth on the market.,1,5,best bluetooth market,1.0
241,Authentic leather with nice shine and comfort .I recommend you this case !!,1,13,authent leather nice comfort recommend case,0.6
242,I was very excited to get this headset because I thought it was really cute.,1,15,excit get headset thought realli cute,0.5
243,Do not make the same mistake as me.,0,8,make mistak,0.0
244,Big Disappointment with calendar sync.,0,5,big disappoint,0.0
245,the phone was unusable and was not new.,0,8,phone unus new,0.13636363636363635
246,Worst Customer Service Ever.,0,4,worst custom servic ever,-1.0
247,"No additional ear gels provided, and no instructions whatsoever.",0,9,addit ear gel provid instruct whatsoev,0.0
248,It defeats the purpose of a bluetooth headset.,0,8,purpos bluetooth headset,0.0
249,Worth every penny.,1,3,worth everi,0.3
250,Excellent wallet type phone case.,1,5,excel type phone case,0.0
251,Nice headphones for the price and they work great!,1,9,nice headphon price work great,0.7
252,Internet is excrutiatingly slow.,0,4,internet slow,-0.30000000000000004
253,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,19,comfort wear well probabl import aspect use case,0.0
254,"It's fits like a glove and is strong, secure, and durable.",1,11,fit like strong secur,0.41666666666666663
255,O my gosh the best phone I have ever had.,1,10,gosh best phone ever,1.0
256,It's very attractive and appears to be of good quality.,1,10,attract appear good qualiti,0.7
257,I love all the features and form factor.,1,8,love featur form,0.5
258,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,19,product strong rubber smell unbear caus return,0.4333333333333333
259,poor quality and service.,0,4,poor qualiti servic,-0.4
260,"The cable looks so thin and flimsy, it is scary.",0,10,cabl look thin flimsi scari,-0.4
261,Great Earpiece.,1,2,great earpiec,0.8
262,Excellent hands free tool.,1,4,excel hand free tool,0.4
263,Great for using with your home stereo.,1,7,great use home,0.8
264,Good product - incredible value.,1,5,good product incred valu,0.7
265,Only had this a month but it's worked flawlessly so far.,1,11,month work flawlessli far,0.1
266,Works great.,1,2,work great,0.8
267,Works great.,1,2,work great,0.8
268,Absolutel junk.,0,2,junk,0.0
269,THAT one didn't work either.,0,5,one work either,0.0
270,Battery life is real good.,1,5,batteri life real good,1.0
271,Returned 8 hours later.,0,4,return hour later,0.0
272,It's a great item.,1,4,great item,0.8
273,Don't waste your money!.,0,4,wast money,0.0
274,Love this headset!,1,3,love headset,0.5
275,"Not only will it drain your player, but may also potentially fry it.",0,13,drain player may also fri,0.0
276,Worked perfectly!,1,2,work perfectli,0.0
277,Unreliable - I'm giving up.,0,5,unreli give,0.0
278,I gave it 5 stars because of the sound quality.,1,10,gave star sound qualiti,0.4
279,Avoid this one if you can.,0,6,avoid one,0.0
280,Reversible plug works great.,1,4,plug work great,0.8
281,I wasted my little money with this earpiece.,0,8,wast littl money earpiec,0.0
282,Very good phone.,1,3,good phone,0.7
283,"Best of all is the rotating feature, very helpful.",1,9,best rotat featur help,1.0
284,Comfort for our whole family.,1,5,comfort whole famili,0.2
285,"Good product, good seller.",1,4,good product good seller,0.7
286,I love this bluetooth!,1,4,love bluetooth,0.5
287,"First of all, it doesn't wear well.",0,7,first wear well,0.25
288,I am very impressed with this headset from Plantronics.,1,9,impress headset plantron,0.0
289,I got it because it was so small and adorable.,1,10,got small ador,-0.25
290,I wouldn't recommend buying this product.,0,6,recommend buy product,0.0
291,Piece of Junk.,0,3,piec junk,0.0
292,Poorly contstruct hinge.,0,3,poorli,0.0
293,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,22,item great let charg work good everi sinc problem,0.75
294,Great Phone.,1,2,great phone,0.8
295,Great Phone.,1,2,great phone,0.8
296,Don't buy it.,0,3,buy,0.0
297,Excellent Phone.,1,2,excel phone,0.0
298,DO NOT PURCHASE THIS PHONE.,0,5,purchas phone,0.0
299,The voice recognition thru the handset is excellent.,1,8,voic recognit thru excel,0.0
300,This is hands down the best phone I've ever had.,1,10,hand best phone ever,1.0
301,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,18,work great cat phone scratch strip instead screen,0.8
302,This one works and was priced right.,1,7,one work price right,0.2857142857142857
303,Customer service was terrible.,0,4,custom servic terribl,0.0
304,Battery life still not long enough in Motorola Razor V3i.,0,10,batteri life still long enough motorola v,-0.025
305,Sending it back.,0,3,send back,0.0
306,Now I know that I made a wise decision.,1,9,know made wise decis,0.7
307,Someone shouldve invented this sooner.,1,5,someon,0.0
308,Good price.,1,2,good price,0.7
309,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,19,everyth work first tri devic certainli clever way construct feel good,0.37222222222222223
310,I received it quickly and it works great!!,1,8,receiv quickli work great,0.8
311,Has been working great.,1,4,work great,0.8
312,"As many people complained, I found this headset's microphone was very weak.",0,12,mani peopl found headset microphon weak,-0.375
313,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,15,year old nokia hold charg lot better,0.3
314,They do not care about the consumer one bit.,0,9,care consum one bit,0.0
315,"This is a good battery, and it got here really fast.",1,11,good batteri got realli fast,0.44999999999999996
316,The instruction manual is lacking.,0,5,lack,0.0
317,Also its slim enough to fit into my alarm clock docking station without removing the case.,1,16,also slim enough fit dock station without remov case,0.2
318,Phone now holds charge like it did when it was new.,1,11,phone hold charg like new,0.13636363636363635
319,The battery is unreliable as well as the service use antena.,0,11,batteri unreli well servic use,0.0
320,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,25,uncomfort sound qualiti quit poor phone razr previou wire headset plug lg,0.0
321,We have gotten a lot of compliments on it.,1,9,gotten lot compliment,0.0
322,This is definitely a must have if your state does not allow cell phone usage while driving.,1,17,definit must state allow cell phone drive,0.0
323,I want my money back.,0,5,want money back,0.0
324,I love this device.,1,4,love devic,0.5
325,I am also very happy with the price.,1,8,also happi price,0.0
326,I ordered this product first and was unhappy with it immediately.,0,11,order product first unhappi immedi,0.25
327,The Ngage is still lacking in earbuds.,0,7,still lack,0.0
328,I was able to do voice dialing in the car with no problem.,1,13,abl voic dial car problem,0.0
329,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,18,bar cell phone home cant hear anyth,0.0
330,"good item, low price.",1,4,good item low price,0.35
331,"However-the riingtones are not the best, and neither are the games.",0,11,howev best neither game,0.3
332,The plug did not work very well.,0,7,plug work well,0.0
333,AMAZON SUCKS.,0,2,amazon suck,0.0
334,Rip off---- Over charge shipping.,0,5,charg ship,0.0
335,VERY comfortable.,1,2,comfort,0.0
336,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,20,batteri work well replac origin came phone year ago,0.0
337,The reception is excellent!,1,4,recept excel,0.0
338,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,20,fit comfort either ear sound clear loud charg last coupl day,0.2
339,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,25,clear qualiti sound mess sound ipod sinc sound button headset,0.225
340,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,18,long last batteri recharg flip phone,-0.025
341,Obviously there is a problem with the adhesive.,0,8,obvious problem,0.0
342,Very disappointing.,0,2,disappoint,0.0
343,"It was an inexpensive piece, but I would still have expected better quality.",0,13,inexpens piec would still expect better qualiti,0.5
344,It is practically useless and did not add any kind of boost to my reception after I bought it.,0,19,practic useless add kind boost recept bought,0.04999999999999999
345,Excellent sound quality.,1,3,excel sound qualiti,0.4
346,Was not happy.,0,3,happi,0.0
347,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,14,piec junk broke phone day,0.0
348,New Battery works great in phone.,1,6,new batteri work great phone,0.4681818181818182
349,Worst customer service.,0,3,worst custom servic,-1.0
350,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,22,drop phone time say even phone still great,0.8
351,Reception is terrible and full of static.,0,7,recept terribl full static,0.425
352,Good audio quality.,1,3,good audio qualiti,0.7
353,This little device has transformed my organizational capability and made my life a whole lot easier.,1,16,littl devic made life whole lot easier,0.2
354,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,17,sit belt headset lost signal,0.0
355,Were JERKS on the phone.,0,5,phone,0.0
356,Works like a charm.. Works as advertised.,1,7,work like charm work advertis,0.0
357,"Comfortable, Nice Range, Good Battery Life.",1,6,comfort nice rang good batteri life,0.6499999999999999
358,Their network coverage in Los Angeles is horrible.,0,8,network coverag lo angel horribl,0.0
359,Excellent starter wireless headset.,0,4,excel wireless headset,0.0
360,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,14,great appeal,0.8
361,The only thing that I think could improve is the sound leaks out from the headset.,0,16,thing think could sound headset,0.4
362,"First off the reception sucks, I have never had more than 2 bars, ever.",0,14,first recept suck never bar ever,0.25
363,The phone gets EXTREMELY HOT!,0,5,phone get extrem hot,0.25
364,"The microphone also works well, but (according to people I have called) it applifies everything.",1,15,microphon also work well peopl call everyth,0.0
365,Nice design and quality.,1,4,nice design qualiti,0.6
366,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,19,also phone drop case go save drop face,0.0
